Year,Bayunit,Estimate.Nonpups,SD.Nonpups,Estimate.Pups,SD.Pups
1993,BHBIH,651,118.9,35,8.2
1993,BHBIHE,543,121.1,39,8.9
1993,BHBIHW,430,81.2,16,5.3
1993,BHBMR,2882,551.5,479,32.1
1993,BHBSI,1867.5,310.2,458,30.3
1993,BHBUP,1273.5,241.3,194,19.6
1993,BOSHB,3339.5,635.2,137,15.9
1993,CASB,2097.5,365.9,185,18.9
1993,CASBE,606,109.9,46,9.9
1993,CELPT,1449,309.7,30,7.5
1993,COBSB,244,59.8,38,8.6
1993,EB,1552,279.1,308,24.9
1993,ENGB,473,90.0,77,12.8
1993,FBMDI,1425,267.6,143,16.3
1993,MACHB,1287,261.8,236,21.3
1993,MUSCB,2713,485.2,255.5,23.7
1993,OUTIS,2398.5,363.1,97,13.5
1993,PBEA,2349,413.4,332,25.8
1993,PBMC,2024,353.6,326,25.5
1993,PBMW,1371,249.1,161,18.5
1993,PBUP,261,65.6,18,5.8
1993,PBVL,624.5,130.7,65,11.1
1993,PBVLW,247,45.0,38,8.3
1993,PNDB,1687,324.6,228,21.9
1993,WB,1489,242.7,335,26.7
1994,BHBIH,610,184.2,94,93.3
1994,BHBIHE,677,221.5,108,99.0
1994,BHBIHW,415,122.4,42.5,42.8
1994,BHBMR,3052,1016.2,718,639.8
1994,BHBSI,1554.5,492.4,408,326.5
1994,BHBUP,1328.5,447.3,337.5,301.0
1994,BOSHB,3677,1129.1,234,205.5
1994,CASB,1971.5,596.2,320,289.2
1994,CASBE,606,194.5,37,30.4
1994,CELPT,1765.5,614.1,53,47.1
1994,COBSB,293.5,105.3,55,54.5
1994,EB,1560.5,448.5,490.5,442.9
1994,ENGB,468.5,152.6,94,87.7
1994,FBMDI,1576.5,471.3,226,195.9
1994,MACHB,1443.5,475.2,301,270.3
1994,MUSCB,2806,889.2,426,400.5
1994,OUTIS,1611,506.8,60,50.0
1994,PBEA,2429,763.7,604,566.5
1994,PBMC,1802.5,571.7,318,239.2
1994,PBMW,1320.5,420.9,233,205.1
1994,PBUP,334,121.7,25,25.5
1994,PBVL,634.5,195.6,118,114.9
1994,PBVLW,219,72.0,29,23.7
1994,PNDB,1754,547.7,275.5,266.8
1994,WB,1487,455.4,400,328.7
1995,BHBIH,580,183.8,96,86.3
1995,BHBIHE,723,239.4,107,95.8
1995,BHBIHW,396,126.1,44.5,42.7
1995,BHBMR,3064,1072.6,711.5,655.0
1995,BHBSI,1436,466.7,401.5,394.8
1995,BHBUP,1413.5,443.8,343.5,293.2
1995,BOSHB,3922.5,1146.0,252,210.4
1995,CASB,1986.5,631.0,324,321.1
1995,CASBE,588.5,205.9,37,32.4
1995,CELPT,1905,662.2,53,48.6
1995,COBSB,304,108.7,61,48.6
1995,EB,1598.5,496.8,487,415.5
1995,ENGB,462.5,156.6,100,91.9
1995,FBMDI,1647.5,515.2,236,212.9
1995,MACHB,1496,492.7,302.5,271.8
1995,MUSCB,2749.5,864.2,431,394.6
1995,OUTIS,1392.5,453.6,58,59.1
1995,PBEA,2400.5,765.2,604,512.8
1995,PBMC,1694,566.3,305.5,283.3
1995,PBMW,1288.5,435.4,236,230.9
1995,PBUP,360,126.5,24,24.8
1995,PBVL,626,211.3,119,102.2
1995,PBVLW,215,72.0,27,26.8
1995,PNDB,1704,538.4,297,294.8
1995,WB,1507.5,465.2,404.5,364.9
1996,BHBIH,569.5,172.0,91,82.9
1996,BHBIHE,744.5,237.4,110,107.8
1996,BHBIHW,390,121.9,44,46.0
1996,BHBMR,3100,1020.5,723.5,551.4
1996,BHBSI,1384.5,439.1,422.5,342.6
1996,BHBUP,1440.5,474.4,361,291.2
1996,BOSHB,4197.5,1327.1,246.5,228.4
1996,CASB,2086.5,633.2,312.5,313.0
1996,CASBE,537,177.0,35,32.1
1996,CELPT,2004,674.9,55,51.8
1996,COBSB,305,112.5,58,53.6
1996,EB,1664,490.3,504.5,472.6
1996,ENGB,449.5,143.5,102,98.4
1996,FBMDI,1731.5,501.7,236,207.1
1996,MACHB,1472,480.1,321,259.0
1996,MUSCB,2718,831.1,418,360.2
1996,OUTIS,1196.5,415.8,56,48.3
1996,PBEA,2309.5,719.5,648,587.0
1996,PBMC,1557.5,500.1,308,258.7
1996,PBMW,1272.5,394.0,225,200.4
1996,PBUP,371,122.9,24,26.0
1996,PBVL,595,186.0,123,106.0
1996,PBVLW,206,65.6,28,22.1
1996,PNDB,1722,548.0,280,246.3
1996,WB,1522,480.6,418,352.1
1997,BHBIH,493,96.9,45,9.6
1997,BHBIHE,767.5,135.1,43,9.2
1997,BHBIHW,352,69.4,18,5.6
1997,BHBMR,2952,584.2,633,35.8
1997,BHBSI,1376.5,241.6,359,26.5
1997,BHBUP,1597.5,264.8,319,25.5
1997,BOSHB,4906,812.7,257,22.8
1997,CASB,2370.5,389.1,294,24.6
1997,CASBE,414,92.0,21,6.5
1997,CELPT,2325.5,409.1,52,10.3
1997,COBSB,280,65.1,57,10.8
1997,EB,1835,307.0,596,34.8
1997,ENGB,418,85.2,111,15.3
1997,FBMDI,1840,306.5,192,20.0
1997,MACHB,1397,274.9,314,25.9
1997,MUSCB,2456.5,464.1,206,20.5
1997,OUTIS,906,208.9,33.5,8.1
1997,PBEA,2164.5,395.6,568,33.2
1997,PBMC,1233,261.6,194,19.1
1997,PBMW,1161,227.5,117,15.6
1997,PBUP,363.5,68.9,9,4.2
1997,PBVL,528,111.0,96,13.7
1997,PBVLW,203,41.6,34,8.3
1997,PNDB,1782,330.1,266,23.4
1997,WB,1646.5,271.8,416,29.3
1998,BHBIH,544,179.5,93.5,93.8
1998,BHBIHE,763,229.3,115,101.5
1998,BHBIHW,392,124.5,47,36.8
1998,BHBMR,3129.5,936.8,713.5,616.9
1998,BHBSI,1380.5,421.0,421,318.1
1998,BHBUP,1458,472.3,346,290.9
1998,BOSHB,4353,1301.9,244.5,221.9
1998,CASB,2099.5,615.1,327,296.6
1998,CASBE,540,171.1,36,29.9
1998,CELPT,2075,702.3,58,46.0
1998,COBSB,319,113.7,59,48.5
1998,EB,1644,485.5,525.5,434.2
1998,ENGB,435,141.5,102,91.2
1998,FBMDI,1787,517.7,245,239.6
1998,MACHB,1523,481.0,317,261.2
1998,MUSCB,2738.5,861.2,434,411.3
1998,OUTIS,1187,409.7,56,50.6
1998,PBEA,2285,678.0,653.5,565.8
1998,PBMC,1549,509.0,306.5,250.8
1998,PBMW,1258.5,395.9,236,205.4
1998,PBUP,389,126.3,26,24.3
1998,PBVL,611,204.7,119,92.7
1998,PBVLW,207,64.9,27,21.6
1998,PNDB,1745.5,562.4,283.5,241.8
1998,WB,1507,449.3,436.5,351.2
1999,BHBIH,539,184.1,96.5,84.3
1999,BHBIHE,805,253.0,115,95.3
1999,BHBIHW,401,123.5,47,38.2
1999,BHBMR,3247,1069.1,713.5,650.1
1999,BHBSI,1390.5,469.2,424,351.9
1999,BHBUP,1454.5,482.1,357,319.8
1999,BOSHB,4300,1414.0,248,235.1
1999,CASB,2032.5,667.6,333,268.2
1999,CASBE,618,199.9,39,32.9
1999,CELPT,2061,654.4,60,46.2
1999,COBSB,351,124.1,62,52.1
1999,EB,1573.5,470.1,525,467.4
1999,ENGB,432.5,145.5,101,97.1
1999,FBMDI,1826,590.1,247,194.3
1999,MACHB,1500.5,516.3,306.5,258.9
1999,MUSCB,2991.5,990.2,434.5,390.9
1999,OUTIS,1322.5,458.5,60,51.0
1999,PBEA,2360,779.1,629.5,608.0
1999,PBMC,1743.5,621.8,318.5,268.9
1999,PBMW,1367.5,468.2,250,209.5
1999,PBUP,413,134.8,27,26.7
1999,PBVL,652.5,214.4,120,96.1
1999,PBVLW,208,67.0,27,24.4
1999,PNDB,1748,570.5,292,260.6
1999,WB,1470,451.7,436,376.3
2000,BHBIH,532,160.8,99,81.1
2000,BHBIHE,835,247.8,122.5,111.5
2000,BHBIHW,413,116.7,51,42.2
2000,BHBMR,3334,1009.6,765.5,620.3
2000,BHBSI,1437.5,453.5,433.5,348.2
2000,BHBUP,1486.5,452.5,383.5,288.1
2000,BOSHB,4421.5,1412.8,261,217.4
2000,CASB,2077,640.4,323,258.1
2000,CASBE,657,203.6,38.5,31.2
2000,CELPT,2038.5,633.6,58,44.5
2000,COBSB,378,129.1,60,52.4
2000,EB,1537.5,433.9,528.5,382.8
2000,ENGB,410,133.5,99,87.5
2000,FBMDI,1890,541.8,244,211.2
2000,MACHB,1549,508.2,317.5,266.4
2000,MUSCB,3338,1076.7,459.5,416.5
2000,OUTIS,1512,476.4,60,53.8
2000,PBEA,2512,683.4,637,586.6
2000,PBMC,1944.5,623.0,322,258.9
2000,PBMW,1508.5,452.2,255,227.0
2000,PBUP,447,133.7,28,26.8
2000,PBVL,685.5,204.3,122,105.9
2000,PBVLW,213,66.6,26,26.3
2000,PNDB,1738,518.3,317,246.3
2000,WB,1455,421.8,425,355.3
2001,BHBIH,453,39.3,150,17.5
2001,BHBIHE,945.5,92.1,324,24.9
2001,BHBIHW,400,42.7,107,14.6
2001,BHBMR,3940,462.4,1129,48.4
2001,BHBSI,1608.5,173.8,639,34.8
2001,BHBUP,1620,199.0,518.5,31.7
2001,BOSHB,5255,741.2,459,30.3
2001,CASB,2323.5,127.3,643,35.8
2001,CASBE,804,80.8,72,11.8
2001,CELPT,2195.5,376.4,97,14.3
2001,COBSB,479,78.6,96,13.7
2001,EB,1457,83.4,567.5,33.5
2001,ENGB,344,47.0,85,12.4
2001,FBMDI,2192,175.4,487,32.8
2001,MACHB,1568,184.1,403.5,27.7
2001,MUSCB,4242,742.5,835.5,42.1
2001,OUTIS,1841,256.5,117,15.5
2001,PBEA,2675.5,224.6,891,41.0
2001,PBMC,2499,331.7,539,33.7
2001,PBMW,1885,213.3,491.5,31.4
2001,PBUP,547.5,43.0,96,13.7
2001,PBVL,748.5,69.2,147,17.0
2001,PBVLW,224,29.3,14,5.3
2001,PNDB,1741,147.4,440,29.3
2001,WB,1435.5,57.8,634,35.0
2002,BHBIH,531.5,159.8,107,83.2
2002,BHBIHE,836.5,234.5,124.5,115.8
2002,BHBIHW,411,126.9,50,45.6
2002,BHBMR,3344,1008.2,782,600.2
2002,BHBSI,1436.5,429.7,438,366.6
2002,BHBUP,1460.5,431.6,369,299.1
2002,BOSHB,4306,1396.1,267,226.3
2002,CASB,2039,639.0,329,278.8
2002,CASBE,685,213.3,40.5,32.9
2002,CELPT,2002,690.0,56,49.7
2002,COBSB,391,135.1,62.5,55.9
2002,EB,1495,431.6,513.5,397.7
2002,ENGB,411.5,139.8,97,75.3
2002,FBMDI,1895,540.8,258,218.1
2002,MACHB,1539.5,486.8,314.5,273.3
2002,MUSCB,3337.5,1066.8,479,419.2
2002,OUTIS,1546,486.1,60,50.9
2002,PBEA,2540.5,757.9,654,543.3
2002,PBMC,1985,646.8,337,275.0
2002,PBMW,1497,454.4,249,197.7
2002,PBUP,440,137.6,28,27.3
2002,PBVL,689.5,205.8,127,106.7
2002,PBVLW,209,65.4,26,24.1
2002,PNDB,1746,518.9,295,243.9
2002,WB,1418,391.8,437.5,346.7
2003,BHBIH,566,185.0,106,84.3
2003,BHBIHE,799.5,260.3,128,108.6
2003,BHBIHW,421.5,135.7,52,47.2
2003,BHBMR,3227,1150.5,744,649.2
2003,BHBSI,1362.5,457.7,445.5,365.0
2003,BHBUP,1408,462.7,386,302.3
2003,BOSHB,4027,1385.9,248,224.2
2003,CASB,1959,643.0,341,296.9
2003,CASBE,665.5,206.1,40,34.4
2003,CELPT,2003.5,722.0,55,50.1
2003,COBSB,353.5,136.8,64,56.0
2003,EB,1478.5,523.7,530.5,465.0
2003,ENGB,431.5,146.1,102,87.2
2003,FBMDI,1754.5,566.6,240,223.8
2003,MACHB,1565,537.4,310,244.9
2003,MUSCB,3071.5,1115.5,465.5,394.3
2003,OUTIS,1466,508.0,60,53.6
2003,PBEA,2446.5,804.8,663,566.2
2003,PBMC,1882,658.4,335,282.3
2003,PBMW,1390,492.8,262.5,210.6
2003,PBUP,398,148.5,28,28.9
2003,PBVL,667,220.6,130,115.3
2003,PBVLW,203.5,69.9,26,23.6
2003,PNDB,1705.5,571.2,284,411.2
2003,WB,1435,464.7,416,348.5
2004,BHBIH,583.5,197.0,102,85.4
2004,BHBIHE,783,256.8,128,109.2
2004,BHBIHW,415.5,147.0,48,43.5
2004,BHBMR,3154.5,1087.0,775,621.7
2004,BHBSI,1329,478.4,413,327.4
2004,BHBUP,1389.5,480.2,349.5,319.9
2004,BOSHB,3982,1398.2,251.5,220.9
2004,CASB,1930,661.6,335.5,306.3
2004,CASBE,640,217.0,38,34.9
2004,CELPT,1980,752.4,56.5,49.5
2004,COBSB,338,141.6,62,50.3
2004,EB,1507.5,541.7,531,429.9
2004,ENGB,448,165.0,100.5,100.3
2004,FBMDI,1690,547.7,245.5,223.9
2004,MACHB,1601.5,547.1,325,265.2
2004,MUSCB,2935.5,1068.2,429.5,393.2
2004,OUTIS,1394,500.6,59,49.3
2004,PBEA,2362.5,823.6,659,582.5
2004,PBMC,1840.5,662.2,334.5,326.9
2004,PBMW,1330,502.2,255,210.8
2004,PBUP,395.5,150.0,27,26.4
2004,PBVL,665,229.5,127,104.1
2004,PBVLW,205,68.7,27,24.9
2004,PNDB,1711,581.9,291,238.3
2004,WB,1396,489.7,433.5,374.7
2005,BHBIH,599,196.9,103,86.8
2005,BHBIHE,763,265.0,117,111.5
2005,BHBIHW,421,143.2,49,45.7
2005,BHBMR,3154.5,1113.6,756,631.8
2005,BHBSI,1330.5,467.4,428.5,336.8
2005,BHBUP,1432.5,476.2,374.5,293.4
2005,BOSHB,3771,1339.6,248,223.6
2005,CASB,1870,656.9,338,299.5
2005,CASBE,634,208.7,38,33.1
2005,CELPT,1957.5,748.4,56,52.9
2005,COBSB,341,140.3,61,55.1
2005,EB,1522.5,495.8,516,452.9
2005,ENGB,460.5,167.1,102.5,96.3
2005,FBMDI,1677,552.9,244,198.7
2005,MACHB,1558,583.3,322.5,264.2
2005,MUSCB,2958,1034.1,459.5,400.1
2005,OUTIS,1383.5,490.8,58,53.8
2005,PBEA,2425,797.8,627,570.7
2005,PBMC,1761,626.9,309,320.9
2005,PBMW,1313.5,506.6,249,200.7
2005,PBUP,389,143.0,27,26.8
2005,PBVL,660.5,237.7,124,113.6
2005,PBVLW,204.5,70.4,26,25.3
2005,PNDB,1749,563.6,285,267.3
